Päivä,Aika,Kalajoki,Vaasa,Kristiinankaupunki
2024-11-6,12:30:00,5.3,1.8,6.7
2024-11-7,00:30:00,5.8,3.1,7.4
2024-11-7,12:30:00,7.9,2.9,7.4
2024-11-8,00:30:00,7.4,3.2,5.6
2024-11-8,12:30:00,9,4.1,5.7
2024-11-9,00:30:00,11.9,3.3,7
2024-11-9,12:30:00,9.2,2.5,6.4
2024-11-10,00:30:00,2.8,0.8,3.4
2024-11-10,12:30:00,4.6,2.2,4.3
2024-11-11,00:30:00,6.8,4.6,7.1
2024-11-11,12:30:00,7.8,3.6,8.5
2024-11-12,00:30:00,6.1,3,5.1
2024-11-12,12:30:00,4.4,3.2,8.1
2024-11-13,00:30:00,8.5,4.2,5.6
2024-11-13,12:30:00,14.2,7.7,10.8
2024-11-14,00:30:00,12.4,7.3,12.2
2024-11-14,12:30:00,14.4,7.6,17.3
2024-11-15,00:30:00,12.9,6.2,14.9
2024-11-15,12:30:00,10.7,5.9,11.8
2024-11-16,00:30:00,12.6,4,8.2
2024-11-16,12:30:00,12.6,5.9,7.5
2024-11-17,00:30:00,9.9,5.9,16.8
2024-11-17,12:30:00,3.7,5.1,11.5
2024-11-18,00:30:00,6.6,5.8,10.7
2024-11-18,12:30:00,9.5,3.3,6.1
2024-11-19,00:30:00,6.2,2.4,3
2024-11-19,12:30:00,3.9,1.3,2.9
2024-11-20,00:30:00,4.5,2.4,4.6
2024-11-20,12:30:00,14.7,4.9,10.2
2024-11-21,00:30:00,21.7,9.7,16.3
2024-11-21,12:30:00,21.2,8.9,13.5
2024-11-22,00:30:00,11,3.6,6.1
2024-11-22,12:30:00,9.9,2.3,5.2
2024-11-23,00:30:00,4.3,4,10.8
2024-11-23,12:30:00,12.4,2.6,4.4
2024-11-24,00:30:00,13.2,4.9,12.8
2024-11-24,12:30:00,11.5,4.3,6.6
2024-11-25,12:30:00,12.8,9.9,15
2024-11-26,00:30:00,10,5.2,11.5
2024-11-25,00:30:00,undefined,8.5,17.7
